Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Transforming surgical morbidity and mortality into a systematic case review,JOURNAL OF PEDIATRIC SURGERY,10.1016/j.jpedsurg.2020.09.036,"Bruny, Jennifer; Inge, Thomas; Rannie, Michael; Acker, Shannon; Levitt, Glenn; Cumbler, Ethan; Brumbaugh, David",2021,,Journal Article,Web of Science,EC3
Using an Intake Form and Clinic Dashboard to Tailor and Improve the Cleft Team Clinic Visit for Families,CLEFT PALATE-CRANIOFACIAL JOURNAL,10.1177/1055665620965256,"Pfeifauf, Kristin D.; Snyder-Warwick, Alison K.; Scheve, Sibyl; Grellner, Cheryl L.; Skolnick, Gary B.; Naidoo, Sybill D.; Patel, Kamlesh B.",2021,,Journal Article,Web of Science,EC3
On the relevance of self-service business intelligence to university management,JOURNAL OF ACCOUNTING AND ORGANIZATIONAL CHANGE,10.1108/JAOC-09-2020-0131,"Arnaboldi, Michela; Robbiani, Andrea; Carlucci, Paola",2021,,Journal Article,Web of Science,EC3
Modeling Local BES Indicators by Copula-Based Bayesian Networks,SOCIAL INDICATORS RESEARCH,10.1007/s11205-020-02530-5,"D'Urso, Pierpaolo; Vitale, Vincenzina",2021,,Journal Article,Web of Science,EC3
PRACTITIONER APPLICATION: Association Between Use of EHR-Generated Dashboards and Hospital Outcomes in 30-Day Heart Failure Readmissions,JOURNAL OF HEALTHCARE MANAGEMENT,10.1097/JHM-D-20-00265,"Ibata, Brent",2020,,Journal Article,Web of Science,EC3
Maintenance strategy selection: a combined goal programming approach and BWM-TOPSIS for paper production industry,JOURNAL OF QUALITY IN MAINTENANCE ENGINEERING,10.1108/JQME-03-2019-0022,"Avakh Darestani, Soroush; Palizban, Tahereh; Imannezhad, Rana",,,Journal Article,Web of Science,EC3
Awareness of performance on outcomes after total hip and knee arthroplasty among Dutch orthopedic surgeons: how to improve feedback from arthroplasty registries,ACTA ORTHOPAEDICA,10.1080/17453674.2020.1827523,"Van Schie, Peter; Van Bodegom-Vos, Leti; Zijdeman, Tristan M.; Nelissen, Rob G. H. H.; Marang-Van De Mheen, Perla J.",2020,,Journal Article,Web of Science,EC3
A diagnostic dashboard to evaluate country water security,WATER POLICY,10.2166/wp.2020.235,"Doeffinger, Tess; Borgomeo, Edoardo; Young, William J.; Sadoff, Claudia; Hall, Jim W.",2020,,Journal Article,Web of Science,EC3
Near-real-time plug load identification using low-frequency power data in office spaces: Experiments and applications,APPLIED ENERGY,10.1016/j.apenergy.2020.115391,"Tekler, Zeynep Duygu; Low, Raymond; Zhou, Yuren; Yuen, Chau; Blessing, Lucienne; Spanos, Costas",2020,,Journal Article,Web of Science,EC3
High Density Real-Time Air Quality Derived Services from IoT Networks,SENSORS,10.3390/s20185435,"Badii, Claudio; Bilotta, Stefano; Cenni, Daniele; Difino, Angelo; Nesi, Paolo; Paoli, Irene; Paolucci, Michela",2020,,Journal Article,Web of Science,EC2
Decreases in Antimicrobial Use Associated With Multihospital Implementation of Electronic Antimicrobial Stewardship Tools,CLINICAL INFECTIOUS DISEASES,10.1093/cid/ciz941,"Graber, Christopher J.; Jones, Makoto M.; Goetz, Matthew Bidwell; Madaras-Kelly, Karl; Zhang, Yue; Butler, Jorie M.; Weir, Charlene; Chou, Ann F.; Youn, Sarah Y.; Samore, Matthew H.; Glassman, Peter A.",2020,,Journal Article,Web of Science,EC3
Key Performance Indicator Dashboard Changes Operator Behavior and Increases Blood Center Productivity over a Three-Year Period,TRANSFUSION,,"Gerlach, Jeremy William; Cuellar, Fabiola; Razatos, Anna; Kendall, Lisa",2020,,Journal Article,Web of Science,EC2
Optimal Timing of Prostate Specific Membrane Antigen Positron Emission Tomography/Computerized Tomography for Biochemical Recurrence after Radical Prostatectomy,JOURNAL OF UROLOGY,10.1097/JU.0000000000001012,"Luiting, Henk B.; van Leeuwen, Pim J.; Remmers, Sebastiaan; Donswijk, Maarten; Busstra, Martijn B.; Bakker, Ingrid L.; Brabander, T.; Stokkel, Marcel; van der Poel, Henk G.; Roobol, Monique J.",2020,,Journal Article,Web of Science,EC3
The people's smart city dashboard (PSCD): Delivering on community-led governance with blockchain,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2020.120150,"Marsal-Llacuna, Maria-Lluisa",2020,,Journal Article,Web of Science,EC3
"Marketing dashboards, resource allocation and performance",EUROPEAN JOURNAL OF MARKETING,10.1108/EJM-03-2019-0300,"Clark, Bruce",2021,,Journal Article,Web of Science,EC5
Education vs Clinician Feedback on Antibiotic Prescriptions for Acute Respiratory Infections in Telemedicine: a Randomized Controlled Trial,JOURNAL OF GENERAL INTERNAL MEDICINE,10.1007/s11606-020-06134-0,"Yan, Lily Du; Dean, Kristin; Park, Daniel; Thompson, James; Tong, Ian; Liu, Cindy; Hamdy, Rana F.",2021,,Journal Article,Web of Science,EC3
A pathway design framework for sectoral deep decarbonization: the case of passenger transportation,CLIMATE POLICY,10.1080/14693062.2020.1804817,"Lefevre, Julien; Briand, Yann; Pye, Steve; Tovilla, Jordi; Li, Francis; Oshiro, Ken; Waisman, Henri; Cayla, Jean-Michel; Zhang, Runsen",2021,,Journal Article,Web of Science,EC3
Demand-based Sensor Data Gathering with Multi-Query Optimization,PROCEEDINGS OF THE VLDB ENDOWMENT,10.14778/3415478.3415479,"Hulsmann, Julius; Traub, Jonas; Markl, Volker",2020,,Journal Article,Web of Science,EC3
Mask R-CNN Method for Dashboard Feature Extraction in Eye Tracking,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,10.1142/S0218001420550174,"Zhang, Pei; Wang, Changyuan; Jia, Hongbo",2020,,Journal Article,Web of Science,EC3
NILM Dashboard: Actionable Feedback for Condition-Based Maintenance,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,10.1109/mim.2020.9153467,"Green, Daisy; Kane, Thomas; Kidwell, Stephen; Lindahl, Peter; Donnal, John; Leeb, Steven",2020,,Journal Article,Web of Science,EC3
Didactic metadata informing teachers' selection of learning resources: boundary crossing in professional development,JOURNAL OF MATHEMATICS TEACHER EDUCATION,10.1007/s10857-019-09428-1,"Cooper, Jason; Olsher, Shai; Yerushalmy, Michal",2020,,Journal Article,Web of Science,EC3
The effect of interactive analytical dashboard features on situation awareness and task performance,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2020.113322,"Nadj, Mario; Maedche, Alexander; Schieder, Christian",2020,,Journal Article,Web of Science,EC5
IMPACT OF PODCASTING ON PRONUNCIATION SKILLS OF PRE-SERVICE EFL TEACHERS,TURKISH ONLINE JOURNAL OF DISTANCE EDUCATION,,"Kafes, Huseyin; Caner, Mustafa",2020,,Journal Article,Web of Science,EC5
Benefits of the software product line paradigm in generating dashboards for educational contexts,RIED-REVISTA IBEROAMERICANA DE EDUCACION A DISTANCIA,10.5944/ried.23.2.26389,"Vazquez-Ingelmo, Andrea; Theron, Roberto",2020,,Journal Article,Web of Science,EC1
Industrial democracy in Europe: a quantitative approach,LABOUR & INDUSTRY-A JOURNAL OF THE SOCIAL AND ECONOMIC RELATIONS OF WORK,10.1080/10301763.2020.1774101,"Sanz, Pablo; Welz, Christian; Caprile, Maria; Rodriguez Contreras, Ricardo",2020,,Journal Article,Web of Science,EC2
The effect of providing learning analytics on student behaviour and performance in programming: a randomised controlled experiment,HIGHER EDUCATION,10.1007/s10734-020-00560-z,"Hellings, Jan; Haelermans, Carla",,,Journal Article,Web of Science,EC3
Adoption and impact of a learning analytics dashboard supporting the advisor-Student dialogue in a higher education institute in Latin America,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,10.1111/bjet.12962,"De Laet, Tinne; Millecamp, Martijn; Ortiz-Rojas, Margarita; Jimenez, Alberto; Maya, Ricardo; Verbert, Katrien",2020,,Journal Article,Web of Science,EC3
Revisiting Five Years of CASMI Contests with EPA Identification Tools,METABOLITES,10.3390/metabo10060260,"McEachran, Andrew D.; Chao, Alex; Al-Ghoul, Hussein; Lowe, Charles; Grulke, Christopher; Sobus, Jon R.; Williams, Antony J.",2020,,Journal Article,Web of Science,EC3
Synthesizing enterprise data through digital dashboards to strategically align performance: Why do operational managers use dashboards?,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,10.1016/j.accinf.2020.100452,"Reinking, Jeff; Arnold, Vicky; Sutton, Steve G.",2020,,Journal Article,Web of Science,EC3
Adaptation and evaluation of a learning analytics dashboard to improve academic support at three Latin American universities,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,10.1111/bjet.12950,"Guerra, Julio; Ortiz-Rojas, Margarita; Zuniga-Prieto, Miguel Angel; Scheihing, Eliana; Jimenez, Alberto; Broos, Tom; De Laet, Tinne; Verbert, Katrien",2020,,Journal Article,Web of Science,EC3
Keys for successful 360 degrees hypervideo design: A user study based on an xAPI analytics dashboard,MULTIMEDIA TOOLS AND APPLICATIONS,10.1007/s11042-020-09059-2,"del Molino, Javier; Bibiloni, Toni; Oliver, Antoni",2020,,Journal Article,Web of Science,EC3
REAL-WORLD APPLICATION OF AN ADAPTIVE DOSING DASHBOARD REVEALS ACCELERATED INDUCTION DOSING OF INFLIXIMAB IS NECESSARY IN MOST IBD PATIENTS AND IMPROVES THERAPUETIC OUTCOMES,GASTROENTEROLOGY,,"Dubinsky, Marla; Phan, Becky L.; Tse, Stacy; Mould, Diane R.",2020,,Journal Article,Web of Science,EC3
A Digital Twin for Automated Root-Cause Search of Production Alarms Based on KPIs Aggregated from IoT,APPLIED SCIENCES-BASEL,10.3390/app10072377,"Papacharalampopoulos, Alexios; Giannoulis, Christos; Stavropoulos, Panos; Mourtzis, Dimitris",2020,,Journal Article,Web of Science,EC3
Representing Data Visualization Goals and Tasks through Meta-Modeling to Tailor Information Dashboards,APPLIED SCIENCES-BASEL,10.3390/app10072306,"Vazquez-Ingelmo, Andrea; Jose Garcia-Penalvo, Francisco; Theron, Roberto; Angel Conde, Miguel",2020,,Journal Article,Web of Science,EC3
CREATION OF EPIC-BASED DASHBOARD TO TRACK AND REPORT PERIOPERATIVE OUTCOMES AND SURGEON PERFORMANCE,JOURNAL OF UROLOGY,,"Javier-DesLoges, Juan; Abello, Alejandro; Kenney, Patrick",2020,,Journal Article,Web of Science,EC3
How do I compare thee? An evidence-based approach to the presentation of class comparison information to students using Dashboard,INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,10.1080/14703297.2019.1593213,"Harvey, Annelie J.; Keyes, Helen",2020,,Journal Article,Web of Science,EC5
Synthesizing enterprise data to strategically align performance: The intentionality of strategy surrogation,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,10.1016/j.accinf.2019.100444,"Reinking, Jeff; Arnold, Vicky; Sutton, Steve G.",2020,,Journal Article,Web of Science,EC3
Dynamic Modeling for Resilience Measurement: NATO Resilience Decision Support Model,APPLIED SCIENCES-BASEL,10.3390/app10082639,"Hodicky, Jan; Ozkan, Goekhan; Ozdemir, Hilmi; Stodola, Petr; Drozd, Jan; Buck, Wayne",2020,,Journal Article,Web of Science,EC3
A Dynamic Dashboarding Application for Fleet Monitoring Using Semantic Web of Things Technologies,SENSORS,10.3390/s20041152,"Vanden Hautte, Sander; Moens, Pieter; Van Herwegen, Joachim; De Paepe, Dieter; Steenwinckel, Bram; Verstichel, Stijn; Ongenae, Femke; Van Hoecke, Sofie",2020,,Journal Article,Web of Science,EC3
Triangulum City Dashboard: An Interactive Data Analytic Platform for Visualizing Smart City Performance,PROCESSES,10.3390/pr8020250,"Farmanbar, Mina; Rong, Chunming",2020,,Journal Article,Web of Science,EC3
Flow analysis inside tractor cabin for determining air conditioner vent location,COMPUTERS AND ELECTRONICS IN AGRICULTURE,10.1016/j.compag.2019.105199,"Oh, Jooseon; Choi, Kyujeong; Son, Gwan-hee; Park, Young-Jun; Kang, Young-Sun; Kim, Young-Joo",2020,,Journal Article,Web of Science,EC3
Human impacts on planetary boundaries amplified by Earth system interactions,NATURE SUSTAINABILITY,10.1038/s41893-019-0454-4,"Lade, Steven J.; Steffen, Will; De Vries, Wim; Carpenter, Stephen R.; Donges, Jonathan F.; Gerten, Dieter; Hoff, Holger; Newbold, Tim; Richardson, Katherine; Rockstroem, Johan",2020,,Journal Article,Web of Science,EC5
Dashboard to monitor outages in a smart grid,2020 15TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES (CISTI'2020),,"Laureano, Raul M. S.; Laureano, Luis M. S.; Sanz, Andreia C. P.",2020,,Conference Paper,Web of Science,EC3
Emission of licenses versus requests for licensing of building works: KPI definition and performance monitoring,2020 15TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES (CISTI'2020),,"Pires, Paula; Raposo, Pedro; Bernardino, Jorge; Pedrosa, Isabel",2020,,Conference Paper,Web of Science,EC3
From 6.2 to 0.15 seconds - an Industrial Case Study on Mobile Web Performance,2020 IEEE INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE AND EVOLUTION (ICSME 2020),10.1109/ICSME46990.2020.00084,"van Riet, Jasper; Paganelli, Flavia; Malavolta, Ivano",2020,,Conference Paper,Web of Science,EC3
A Survey Paper on Identifying Key Performance Indicators for Optimizing Inventory Management System and Exploring Different Visualization Tools,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND CONTROL SYSTEMS (ICICCS 2020),,"Singh, Priyanka; Ghosh, Soma; Saraf, Manish; Nayak, Rahul",2020,,Conference Paper,Web of Science,EC3
Analytic for Temperature and Humidity - Cloud based Forecasting and Dashboard,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND CONTROL SYSTEMS (ICICCS 2020),,"Kolhe, Mukul; Paturkar, Roshan; Sahu, Umesh; Pillai, Sofia; Titarmare, Abhijit",2020,,Conference Paper,Web of Science,EC3
DASHBOARDS - EFFECTIVE INSTRUMENT OF DECISION IN SYNERGY WITH SOFTWARE SUPPORT,POLISH JOURNAL OF MANAGEMENT STUDIES,10.17512/pjms.2020.22.1.36,"Teplicka, K.; Steingartner, W.; Kadarova, J.; Hurna, S.",2020,,Journal Article,Web of Science,EC3
Dashboard information system development as visualization of transaction reports in the application BackInd (backpacker reservation system),"2ND TALENTA CONFERENCE ON ENGINEERING, SCIENCE AND TECHNOLOGY",10.1088/1757-899X/801/1/012145,"Lubis, Muharman; Dennis, Filhan; Andreswari, Rachmadita; Lubis, Arif Ridho",2020,,Conference Paper,Web of Science,EC5
Data Visualisation Literacy in Higher Education: An Exploratory Study of Understanding of a Learning Dashboard Tool,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,10.3991/ijet.v15i17.15041,"Donohoe, David; Costello, Eamon",2020,,Journal Article,Web of Science,EC5
"Learning analytics dashboards: the past, the present and the future",LAK20: THE TENTH INTERNATIONAL CONFERENCE ON LEARNING ANALYTICS & KNOWLEDGE,10.1145/3375462.3375504,"Verbert, Katrien; Ochoa, Xavier; De Croon, Robin; Dourado, Raphael A.; De laet, Tinne",2020,,Conference Paper,Web of Science,EC3
A Visual Analytics Tool for Personalized Competency Feedback,AMCIS 2020 PROCEEDINGS,,"Elmaleh, Joelle; Shankararaman, Venky",2020,,Conference Paper,Web of Science,EC3
Temporal difference based adaptive object Detection (ToDo) platform at Edge Computing System,2020 IEEE 17TH ANNUAL CONSUMER COMMUNICATIONS & NETWORKING CONFERENCE (CCNC 2020),,"Yang, Yousung; Han, Kug; Lee, Seongsoo; Lee, Joohyung",2020,,Conference Paper,Web of Science,EC3
Breadth and frequency of marketing metric reporting and firm performance in the Middle East,JOURNAL OF ISLAMIC MARKETING,10.1108/JIMA-10-2018-0183,"Sailors, John J.",2020,,Journal Article,Web of Science,EC3
Principles of dashboard adaptability to get insights into origin-destination data,JOURNAL OF LOCATION BASED SERVICES,10.1080/17489725.2020.1738577,"Dobraja, Ieva; Kraak, Menno-Jan",2020,,Journal Article,Web of Science,QC1
Framework for Developing a Banking Performance Dashboard: Case Study of TMB Bank,INTERNATIONAL JOURNAL OF KNOWLEDGE AND SYSTEMS SCIENCE,10.4018/IJKSS.2020010103,"Tantipisut, Panchana; Yenradee, Pisal",2020,,Journal Article,Web of Science,EC3
The SSP 2020: The Revised School Success Profile,CHILDREN & SCHOOLS,10.1093/cs/cdz025,"Bowen, Natasha K.; Lucio, Robert; Patak-Pietrafesa, Michele; Bowen, Gary L.",2020,,Journal Article,Web of Science,EC3
NILM Dashboard: Power System Monitoring for Condition-Based Maintenance,NAVAL ENGINEERS JOURNAL,,"Kidwell, L. T. Stephen; Kane, L. T. Thomas; Green, Daisy; Donnal, John; Lindahl, Peter; Leeb, Steven; Zeineldin, Hatem; Khadkikar, Vinod; El Moursi, Mohamed",2019,,Journal Article,Web of Science,EC3
Creating a learner performance dashboard for programmatic assessment,CLINICAL TEACHER,10.1111/tct.13106,"Santen, Sally A.; Myklebust, Leif; Cabrera, Clare; Patton, Johmarx; Grichanik, Mark; Zaidi, Nikki L. Bibter",2020,,Journal Article,Web of Science,EC3
Connecting domain-specific features to source code: towards the automatization of dashboard generation,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,10.1007/s10586-019-03012-1,"Vazquez-Ingelmo, Andrea; Jose Garcia-Penalvo, Francisco; Theron, Roberto; Amo Filva, Daniel; Fonseca Escudero, David",2020,,Journal Article,Web of Science,EC3
Effects of learner interaction with learning dashboards on academic performance in an e-learning environment,BEHAVIOUR & INFORMATION TECHNOLOGY,10.1080/0144929X.2019.1680731,"Kokoc, Mehmet; Altun, Arif",2021,,Journal Article,Web of Science,EC3
Geospatial Dashboards for Monitoring Smart City Performance,SUSTAINABILITY,10.3390/su11205648,"Jing, Changfeng; Du, Mingyi; Li, Songnian; Liu, Siyuan",2019,,Journal Article,Web of Science,EC3
The Holy Grail of biodiversity conservation management: Monitoring impact in projects and project portfolios,PERSPECTIVES IN ECOLOGY AND CONSERVATION,10.1016/j.pecon.2019.11.003,"Stephenson, P. J.",2019,,Journal Article,Web of Science,EC3
Elemental: An Open-Source Wireless Hardware and Software Platform for Building Energy and Indoor Environmental Monitoring and Control,SENSORS,10.3390/s19184017,"Ali, Akram Syed; Cote, Christopher; Heidarinejad, Mohammad; Stephens, Brent",2019,,Journal Article,Web of Science,EC3
Evaluation of user interface design metrics using generator of realistic-looking dashboard samples,EXPERT SYSTEMS,10.1111/exsy.12434,"Pastushenko, Olena; Hynek, Jiri; Hruska, Tomas",,,Journal Article,Web of Science,EC3
THE DESIGN OF A LEARNING ANALYTICS DASHBOARD: EDUOPEN MOOC PLATFORM REDEFINITION PROCEDURES,JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY,10.20368/1971-8829/1135044,"Dipace, Anna; Fazlagic, Bojan; Minerva, Tommaso",2019,,Journal Article,Web of Science,EC3
Development of Managerial Key Performance Indicators for A Hospital Pharmacy Digital Dashboard,IRANIAN JOURNAL OF PHARMACEUTICAL RESEARCH,10.22037/ijpr.2019.1100822,"Mahmodabadi, Arezoo Dehghani; Langarizadeh, Mostafa; Mehrjardi, Mohammad Hossein Mosaddegh; Emadi, Sima",2019,,Journal Article,Web of Science,EC3
DRAS-TIC Linked Data: Evenly Distributing the Past,PUBLICATIONS,10.3390/publications7030050,"Jansen, Gregory; Coburn, Aaron; Soroka, Adam; Thomas, Will; Marciano, Richard",2019,,Journal Article,Web of Science,EC3
Assisting software engineering students in analyzing their performance in software development,SOFTWARE QUALITY JOURNAL,10.1007/s11219-018-9433-7,"Raza, Mushtaq; Faria, Joao Pascoal; Salazar, Rafael",2019,,Journal Article,Web of Science,EC3
"Sensors, sense-making and sensitivities: UK household experiences with a feedback display on energy consumption and indoor environmental conditions",ENERGY RESEARCH & SOCIAL SCIENCE,10.1016/j.erss.2019.04.013,"Wood, Georgina; Day, Rosie; Creamer, Emily; van der Horst, Dan; Hussain, Atif; Liu, Shuli; Shukla, Ashish; Iweka, Obiajulu; Gaterell, Mark; Petridis, Panagiotis; Adams, Nicholas; Brown, Victoria",2019,,Journal Article,Web of Science,EC3
Next generation of ADMETox dashboard for drug discovery: Learnings and recommendations,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,"Bhhatarai, Barun; Gerebtzoff, Gregori; Berghausen, Joerg",2019,,Journal Article,Web of Science,EC3
Introducing a scalable peer feedback system for learning teams,ASSESSMENT & EVALUATION IN HIGHER EDUCATION,10.1080/02602938.2018.1526256,"O'Neill, Thomas; Larson, Nicole; Smith, Julia; Donia, Magda; Deng, Connie; Rosehart, William; Brennan, Robert",2019,,Journal Article,Web of Science,EC3
EXPLORING THE DESIGN OF PERFORMANCE DASHBOARDS IN RELATION TO ACHIEVING ORGANISATIONAL STRATEGIC GOALS,SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING,10.7166/30-2-2021,"Bugwandeen, K.; Ungerer, M.",2019,,Journal Article,Web of Science,OK
How Teachers Make Dashboard Information Actionable,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,10.1109/TLT.2018.2851585,"Molenaar, Inge; Knoop-van Campen, Carolien A. N.",2019,,Journal Article,Web of Science,EC3
LoBEMS-IoT for Building and Energy Management Systems,ELECTRONICS,10.3390/electronics8070763,"Mataloto, Bruno; Ferreira, Joao C.; Cruz, Nuno",2019,,Journal Article,Web of Science,EC3
Large scale detailed mapping of dengue vector breeding sites using street view images,PLOS NEGLECTED TROPICAL DISEASES,10.1371/journal.pntd.0007555,"Haddawy, Peter; Wettayakorn, Poom; Nonthaleerak, Boonpakorn; Yin, Myat Su; Wiratsudakul, Anuwat; Schoening, Johannes; Laosiritaworn, Yongjua; Balla, Klestia; Euaungkanakul, Sirinut; Quengdaeng, Papichaya; Choknitipakin, Kittipop; Traivijitkhun, Siripong; Erawan, Benyarut; Kraisang, Thansuda",2019,,Journal Article,Web of Science,EC3
Taking advantage of the software product line paradigm to generate customized user interfaces for decision-making processes: a case study on university employability,PEERJ COMPUTER SCIENCE,10.7717/peerj-cs.203,"Vazquez-Ingelmo, Andrea; Garcia-Penalvo, Francisco J.; Theron, Roberto",2019,,Journal Article,Web of Science,EC3
oTree: The Equality Equivalence Test,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,10.1016/j.jbef.2019.04.001,"Holzmeister, F.; Kerschbamer, R.",2019,,Journal Article,Web of Science,EC5
Efficient computation of key performance indicators in a distance learning university,INFORMATION DISCOVERY AND DELIVERY,10.1108/IDD-09-2018-0050,"Pecori, Riccardo; Suraci, Vincenzo; Ducange, Pietro",2019,,Journal Article,Web of Science,EC5
Indicators needed to design a student dashboard from teachers' perspectives: a qualitative study,REVISTA IBEROAMERICANA DE EDUCACION,10.35362/rie8013462,"Arriaran Olalde, Inigo; Ipina Larranaga, Nagore",2019,,Journal Article,Web of Science,EC3
On the Possibilities of Applying Dashboards in the Educational System,TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,10.18421/TEM82-15,"Damyanov, Ivo; Tsankov, Nikolay",2019,,Journal Article,Web of Science,EC3
Behavior stages of a physician- and coach-supported cloud-based diabetes prevention program for people with prediabetes,SAGE OPEN MEDICINE,10.1177/2050312119841986,"Srivastava, Pallavi; Verma, Ashish; Geronimo, Christine; Button, Terry M.",2019,,Journal Article,Web of Science,EC3
Involving end-users in the design of an audit and feedback intervention in the emergency department setting - a mixed methods study,BMC HEALTH SERVICES RESEARCH,10.1186/s12913-019-4084-3,"van Deen, Welmoed K.; Cho, Edward S.; Pustolski, Kathryn; Wixon, Dennis; Lamb, Shona; Valente, Thomas W.; Menchine, Michael",2019,,Journal Article,Web of Science,EC3
An Early Feedback Prediction System for Learners At-Risk Within a First-Year Higher Education Course,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,10.1109/TLT.2019.2912167,"Baneres, David; Elena Rodriguez-Gonzalez, M.; Serra, Montse",2019,,Journal Article,Web of Science,EC3
An integrated framework for course adapted student learning analytics dashboard,COMPUTERS IN HUMAN BEHAVIOR,10.1016/j.chb.2018.03.035,"Aljohani, Naif Radi; Daud, Ali; Abbasi, Rabeeh Ayaz; Alowibdi, Jalal S.; Basheri, Mohammad; Aslam, Muhammad Ahtisham",2019,,Journal Article,Web of Science,EC3
Method for Monitoring Quality of Extension Programs: A Dashboard Construction Process,JOURNAL OF EXTENSION,,"Ellis, Gary D.; Taggart, Allen; Lepley, Toby; Lacanienta, Andrew",2019,,Journal Article,Web of Science,EC3
Building a Time-Based Flow Management Performance Dashboard,2019 IEEE/AIAA 38TH DIGITAL AVIONICS SYSTEMS CONFERENCE (DASC),,"Askey, Lucy; Chou, Chih-Sheng; Bateman, Hilton; Vengal, Jeeja",2019,,Conference Paper,Web of Science,EC3
A BI Solution to Identify Vulnerabilities and Detect Real-Time Cyber-Attacks for an Academic CSIRT,"INTELLIGENT COMPUTING, VOL 2",10.1007/978-3-030-01177-2_82,"Reyes, Francsico; Fuertes, Walter; Tapia, Freddy; Toulkeridis, Theofilos; Aules, Hernan; Perez, Ernesto",2019,,Conference Paper,Web of Science,EC3
