Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Generation of Test Samples for Construction of Dashboard Design Guidelines: Impact of Color on Layout Balance,Trends and Advances in Information Systems and Technologies,10.1007/978-3-319-77712-2_93,Olena PastushenkoJiří HynekTomáš Hruška,2018,http://link.springer.com/chapter/10.1007/978-3-319-77712-2_93,Conference Paper,SpringerLink,EC5
Towards Public Health Dashboard Design Guidelines,HCI in Business,10.1007/978-3-319-07293-7_5,Bettina LechnerAnn Fruhling,2014,http://link.springer.com/chapter/10.1007/978-3-319-07293-7_5,Conference Paper,SpringerLink,EC5
Exploring the Impact of a Learning Dashboard on Student Affect,Artificial Intelligence in Education,10.1007/978-3-319-19773-9_31,Kasia MuldnerMichael WixonDovan RaiWinslow BurlesonBeverly WoolfIvon Arroyo,2015,http://link.springer.com/chapter/10.1007/978-3-319-19773-9_31,Conference Paper,SpringerLink,EC5
"Low-Investment, Realistic-Return Business Cases for Learning Analytics Dashboards: Leveraging Usage Data and Microinteractions",Lifelong Technology-Enhanced Learning,10.1007/978-3-319-98572-5_30,Tom BroosKatrien VerbertGreet LangieCarolien Van SoomTinne De Laet,2018,http://link.springer.com/chapter/10.1007/978-3-319-98572-5_30,Conference Paper,SpringerLink,EC3
Avaya Interactive Dashboard (AID): An Interactive Tool for Mining the Avaya Problem Ticket Database,Natural Language Processing and Information Systems,10.1007/978-3-540-27779-8_10,Ziyang WangAmit Bagga,2004,http://link.springer.com/chapter/10.1007/978-3-540-27779-8_10,Conference Paper,SpringerLink,EC3
"DDART, a Dynamic Dashboard for Collection, Analysis and Visualization of Activity and Reporting Traces",Open Learning and Teaching in Educational Communities,10.1007/978-3-319-11200-8_39,Min JiChristine MichelÉlise LavouéSébastien George,2014,http://link.springer.com/chapter/10.1007/978-3-319-11200-8_39,Conference Paper,SpringerLink,EC3
A Dashboard to Regulate Project-Based Learning,21st Century Learning for 21st Century Skills,10.1007/978-3-642-33263-0_20,Christine MichelElise LavouéLaurent Pietrac,2012,http://link.springer.com/chapter/10.1007/978-3-642-33263-0_20,Conference Paper,SpringerLink,EC3
Dashboard for Actionable Feedback on Learning Skills: Scalability and Usefulness,Learning and Collaboration Technologies. Technology in Education,10.1007/978-3-319-58515-4_18,Tom BroosLaurie PeetersKatrien VerbertCarolien Van SoomGreet LangieTinne De Laet,2017,http://link.springer.com/chapter/10.1007/978-3-319-58515-4_18,Conference Paper,SpringerLink,EC3
Research on Optimization of Information Coding for Car Dashboard Based on Eye Movement Analysis,Advances in Ergonomics in Design,10.1007/978-3-030-20227-9_12,Guilei SunQin LiYanhua MengLinghua Ran,2020,http://link.springer.com/chapter/10.1007/978-3-030-20227-9_12,Conference Paper,SpringerLink,EC3
"Waste Management System: Approach with IoT, Prediction, and Dashboard",Evolution in Computational Intelligence,10.1007/978-981-15-5788-0_37,Viswanadhapalli BhanujaRamai VarangaonkarYashveer GirdharKumar Kannan,2021,http://link.springer.com/chapter/10.1007/978-981-15-5788-0_37,Conference Paper,SpringerLink,EC3
An Institutional Perspective on the Adoption of Open Dashboard for Health Information Systems in Tanzania,Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D,10.1007/978-3-030-18400-1_22,Wilfred F. SenyoniHonest C. KimaroJørn BraaClaud Kumalija,2019,http://link.springer.com/chapter/10.1007/978-3-030-18400-1_22,Conference Paper,SpringerLink,EC3
VisCa: A Dashboard System to Visualize Learning Activities from E-learning Platforms,Emerging Technologies for Education,10.1007/978-3-319-52836-6_44,Chan-Hsien LinShih-Shin HuHorng-Yih LaiChieh-Feng ChiangHsiao-Chien TsengYuan-Che Cheng,2017,http://link.springer.com/chapter/10.1007/978-3-319-52836-6_44,Conference Paper,SpringerLink,EC3
“My Environment” – A Dashboard for Environmental Information on Mobile Devices,Environmental Software Systems. Fostering Information Sharing,10.1007/978-3-642-41151-9_19,Thorsten SchlachterClemens DüpmeierRainer WeidemannWolfgang SchillingerNina Bayer,2013,http://link.springer.com/chapter/10.1007/978-3-642-41151-9_19,Conference Paper,SpringerLink,EC2
Visualizing Studying Activities for a Learning Dashboard Supporting Meta-cognition for Students,"Distributed, Ambient and Pervasive Interactions",10.1007/978-3-030-50344-4_41,Min LuLi ChenYoshiko GodaAtsushi ShimadaMasanori Yamada,2020,http://link.springer.com/chapter/10.1007/978-3-030-50344-4_41,Conference Paper,SpringerLink,EC3
Toward the Design of a Dashboard to Promote Environmentally Sustainable Behavior among Office Workers,Persuasive Technology,10.1007/978-3-642-37157-8_29,Ray YunBertrand LasternasAzizan AzizVivian LoftnessPeter ScupelliAnthony RoweRuchie KothariFlore MarionJie Zhao,2013,http://link.springer.com/chapter/10.1007/978-3-642-37157-8_29,Conference Paper,SpringerLink,EC3
Product Graphical User Interfaces: A Study for the Meaning and Usability on Automobile Dashboard User Interfaces in Indian Context,Ergonomics in Caring for People,10.1007/978-981-10-4980-4_33,Venkateshwarlu VaralaPradeep Yammiyavar,2018,http://link.springer.com/chapter/10.1007/978-981-10-4980-4_33,Conference Paper,SpringerLink,EC3
An Approach for the Automated Generation of Engaging Dashboards,On the Move to Meaningful Internet Systems: OTM 2019 Conferences,10.1007/978-3-030-33246-4_24,Ünal AksuAdela del-Río-OrtegaManuel ResinasHajo A. Reijers,2019,http://link.springer.com/chapter/10.1007/978-3-030-33246-4_24,Conference Paper,SpringerLink,OK
